LONGITUDE;LATITUDE;CODE_COMMUNE;CODE_POSTAL;COMMUNE
5.3725;49.5154;55351;55600;MONTMEDY
5.3701;47.2726;21337;21760;LAMARCHE SUR SAONE
4.1552;44.3324;07280;07460;ST PAUL LE JEUNE
4.9932;43.9282;84132;84250;LE THOR
-3.0456;48.7152;22390;22930;YVIAS
5.2345;44.1375;84017;84410;BEDOIN
-3.4617;48.7433;22113;22300;LANNION
-3.4617;48.7433;22113;22300;LANNION
5.0139;43.5842;13063;13140;MIRAMAS
-3.4106;48.2883;22137;22340;MAEL CARHAIX
-3.5878;48.5315;29067;29650;GUERLESQUIN
2.4933;49.2882;60684;60870;VILLERS ST PAUL
1.3599;44.8869;24081;24370;CARLUX
4.1306;44.1417;30294;30340;ST PRIVAT DES VIEUX
3.9547;43.9374;30311;30610;SAUVE
0.7476;47.9251;72269;72120;ST CALAIS
6.7009;44.6681;05065;05600;GUILLESTRE
2.5386;50.7263;59295;59190;HAZEBROUCK
-1.2615;47.1715;44212;44330;VALLET
4.2285;47.8724;89131;89740;CRUZY LE CHATEL
-0.8124;49.0964;14143;14240;CAUMONT L EVENTE
-2.4647;47.4727;56155;56760;PENESTIN
9.2103;42.0909;2B124;20227;GHISONI
5.9242;47.2782;25448;25170;PELOUSEY
2.357;47.1109;18205;18230;ST DOULCHARD
5.8755;46.4086;39478;39200;ST CLAUDE
5.8755;46.4086;39478;39200;ST CLAUDE
5.8755;46.4086;39478;39200;ST CLAUDE
5.8755;46.4086;39478;39200;ST CLAUDE
5.8755;46.4086;39478;39200;ST CLAUDE
5.8755;46.4086;39478;39200;ST CLAUDE
6.3807;46.3247;74263;74140;SCIEZ
0.8855;48.2017;28018;28330;AUTHON DU PERCHE
-0.3893;48.152;53097;53600;EVRON
4.2255;46.0329;42145;42840;MONTAGNY
3.8916;46.106;42003;42820;AMBIERLE
4.0291;49.689;02502;02340;MONTCORNET
-1.0034;48.3492;53126;53220;LARCHAMP
-2.4954;48.4684;22093;22400;LAMBALLE
-2.4954;48.4684;22093;22400;LAMBALLE
-2.4954;48.4684;22093;22400;LAMBALLE
-2.4954;48.4684;22093;22400;LAMBALLE
-2.4954;48.4684;22093;22400;LAMBALLE
-2.4954;48.4684;22093;22400;LAMBALLE
7.3773;48.9746;57250;57620;GOETZENBRUCK
7.3773;48.9746;57250;57620;GOETZENBRUCK
1.8757;50.9502;62193;62100;CALAIS
1.4692;45.2556;19005;19240;ALLASSAC
1.5127;45.1902;19274;19270;USSAC
1.6437;42.9378;09207;09330;MONTGAILLARD
6.4669;43.3234;83063;83680;LA GARDE FREINET
5.8265;48.3093;88095;88170;CHATENOIS
5.8265;48.3093;88095;88170;CHATENOIS
6.7203;45.3498;73206;73710;PRALOGNAN LA VANOISE
6.412;44.8308;05175;05290;VALLOUISE
4.6635;46.6134;71417;71460;ST GENGOUX LE NATIONAL
-1.3255;43.9396;40326;40560;VIELLE ST GIRONS
-1.3255;43.9396;40326;40560;VIELLE ST GIRONS
-1.3255;43.9396;40326;40560;VIELLE ST GIRONS
3.6349;45.6904;63258;63880;OLLIERGUES
1.6798;43.9201;81276;81630;SALVAGNAC
2.1659;45.9509;23008;23200;AUBUSSON
7.86;48.7581;67046;67240;BISCHWILLER
9.1206;41.5163;2A114;20114;FIGARI
9.0312;41.6987;2A146;20165;LORETO DI TALLANO
4.3106;46.9455;71014;71400;AUTUN
4.3106;46.9455;71014;71400;AUTUN
4.3013;44.5338;07132;07110;LARGENTIERE
0.5752;43.6534;32013;32000;AUCH
2.1293;43.7052;81139;81440;LAUTREC
6.4903;43.845;04039;04120;CASTELLANE
6.4903;43.845;04039;04120;CASTELLANE
6.4903;43.845;04039;04120;CASTELLANE
6.4903;43.845;04039;04120;CASTELLANE
6.4903;43.845;04039;04120;CASTELLANE
6.4903;43.845;04039;04120;CASTELLANE
1.5693;46.4342;36070;36270;EGUZON CHANTOME
1.5693;46.4342;36070;36270;EGUZON CHANTOME
4.3314;45.4557;42223;42530;ST GENEST LERPT
5.9924;44.0855;04049;04600;CHATEAU ARNOUX ST AUBAN
5.9924;44.0855;04049;04160;CHATEAU ARNOUX ST AUBAN
-0.0766;44.7005;33506;33540;SAUVETERRE DE GUYENNE
-1.8308;47.6279;44067;44290;GUEMENE PENFAO
-1.8308;47.6279;44067;44290;GUEMENE PENFAO
-1.8308;47.6279;44067;44290;GUEMENE PENFAO
-1.5828;47.8184;35106;35620;ERCE EN LAMEE
3.3094;43.5109;34237;34320;ROUJAN
-0.0287;43.9252;32096;32150;CAZAUBON
-0.0287;43.9252;32096;32150;CAZAUBON
0.4555;46.8409;86272;86540;THURE
-0.0811;46.1152;79083;79110;CHEF BOUTONNE
1.1857;45.675;87106;87800;NEXON
3.3384;45.921;63210;63350;MARINGUES
3.8451;50.2318;59467;59138;PONT SUR SAMBRE
5.7777;48.0624;88258;88320;LAMARCHE
6.0663;47.8753;70415;70210;POLAINCOURT ET CLAIREFONTAINE
6.4291;47.5591;70561;70110;VILLERSEXEL
0.6347;42.9127;31144;31440;CIERP GAUD
0.6347;42.9127;31144;31440;CIERP GAUD
4.4416;46.2368;69209;69790;ST IGNY DE VERS
6.7402;45.8572;74236;74170;ST GERVAIS LES BAINS
6.7402;45.8572;74236;74170;ST GERVAIS LES BAINS
6.7402;45.8572;74236;74170;ST GERVAIS LES BAINS
-4.1591;48.0728;29169;29180;PLOGONNEC
0.7221;47.8243;72035;72310;BESSE SUR BRAYE
3.9023;43.5639;34129;34970;LATTES
5.2044;48.3149;52177;52270;DOULAINCOURT SAUCOURT
5.2044;48.3149;52177;52270;DOULAINCOURT SAUCOURT
2.027;42.5132;66124;66120;FONT ROMEU ODEILLO VIA
2.027;42.5132;66124;66120;FONT ROMEU ODEILLO VIA
-0.4197;42.8923;64320;64440;LARUNS
-0.4197;42.8923;64320;64440;LARUNS
-0.4197;42.8923;64320;64440;LARUNS
2.0709;44.8009;46160;46210;LATRONQUIERE
0.2838;42.8993;65006;65440;ANCIZAN
1.5965;42.8462;09306;09400;TARASCON SUR ARIEGE
1.5965;42.8462;09306;09400;TARASCON SUR ARIEGE
6.9407;48.1848;88009;88650;ANOULD
0.3649;45.6454;16093;16380;CHAZELLES
7.1558;48.6016;57003;57560;ABRESCHVILLER
-0.1046;43.4517;64331;64350;LEMBEYE
0.416;46.5484;86157;86550;MIGNALOUX BEAUVOIR
2.3225;43.8924;81317;81430;VILLEFRANCHE D ALBIGEOIS
0.7897;46.2646;86001;86430;ADRIERS
5.3289;43.5711;13032;13510;EGUILLES
5.0681;43.6463;13103;13300;SALON DE PROVENCE
1.7182;49.4798;76312;76220;GOURNAY EN BRAY
1.9451;49.9721;80013;80270;AIRAINES
1.9451;49.9721;80013;80270;AIRAINES
5.9199;49.2141;54542;54910;VALLEROY
0.5143;44.2941;47213;47360;PRAYSSAS
3.8326;50.2059;59033;59620;AULNOYE AYMERIES
5.0396;43.9961;84088;84210;PERNES LES FONTAINES
-2.6873;48.0699;56024;56580;BREHAN
2.7496;48.8683;77307;77144;MONTEVRAIN
5.8572;43.2776;83127;83870;SIGNES
5.8202;43.2069;83016;83330;LE BEAUSSET
4.0882;44.125;30007;30100;ALES
9.071;42.0887;2A040;20136;BOCOGNANO
9.405;42.1965;2B201;20251;PANCHERACCIA
-2.1465;47.8204;56033;56910;CARENTOIR
4.2416;45.8875;42249;42540;ST JUST LA PENDUE
2.7076;45.5442;63192;63680;LA TOUR D AUVERGNE
2.534;45.6123;63225;63750;MESSEIX
2.534;45.6123;63225;63750;MESSEIX
2.534;45.6123;63225;63750;MESSEIX
0.338;42.9143;65031;65240;ARREAU
-1.0014;43.6066;40233;40350;POUILLON
3.8839;47.961;89169;89360;FLOGNY LA CHAPELLE
-1.5074;46.9928;85262;85660;ST PHILBERT DE BOUAINE
5.7732;46.8942;39013;39600;ARBOIS
4.7134;46.713;71070;71390;BUXY
3.6895;47.2566;58083;58800;CORBIGNY
4.1734;47.2097;58003;58230;ALLIGNY EN MORVAN
5.5918;49.4584;54322;54260;LONGUYON
5.5918;49.4584;54322;54260;LONGUYON
5.5918;49.4584;54322;54260;LONGUYON
-0.5096;48.7952;61007;61430;ATHIS VAL DE ROUVRE
-1.3749;48.8097;50237;50320;LA HAYE PESNEL
-1.4635;48.754;50565;50530;SARTILLY BAIE BOCAGE
-1.4635;48.754;50565;50530;SARTILLY BAIE BOCAGE
-1.4635;48.754;50565;50530;SARTILLY BAIE BOCAGE
-1.4635;48.754;50565;50530;SARTILLY BAIE BOCAGE
-1.4635;48.754;50565;50530;SARTILLY BAIE BOCAGE
-2.0709;48.5279;22190;22490;PLESLIN TRIGAVOU
-2.0709;48.5279;22190;22490;PLESLIN TRIGAVOU
2.1607;50.8184;62297;62910;EPERLECQUES
-1.7482;48.0262;35047;35170;BRUZ
-1.7482;48.0262;35047;35170;BRUZ
2.5912;43.2684;11315;11160;RIEUX MINERVOIS
2.4595;43.2055;11397;11800;TREBES
2.0364;43.9103;81156;81150;MARSSAC SUR TARN
-0.5641;44.126;40135;40420;LABRIT
4.2848;45.3102;43177;43140;ST DIDIER EN VELAY
4.7526;43.9467;30011;30133;LES ANGLES
3.5738;43.6394;34114;34150;GIGNAC
3.9067;49.254;51282;51390;GUEUX
5.0879;46.9957;21332;21820;LABERGEMENT LES SEURRE
6.5276;48.775;57712;57630;VIC SUR SEILLE
9.2331;41.6806;2A300;20170;SAN GAVINO DI CARBINI
9.0119;41.5249;2A163;20171;MONACIA D AULLENE
5.3242;46.5937;71379;71580;SAGY
5.7419;47.9441;52060;52400;BOURBONNE LES BAINS
5.7419;47.9441;52060;52400;BOURBONNE LES BAINS
5.7419;47.9441;52060;52400;BOURBONNE LES BAINS
5.9639;47.6798;70482;70360;SCEY SUR SAONE ET ST ALBIN
0.8715;43.2137;31028;31420;AURIGNAC
2.4528;51.0159;59588;59229;TETEGHEM COUDEKERQUE VILLAGE
2.4528;51.0159;59588;59380;TETEGHEM COUDEKERQUE VILLAGE
4.2475;44.4705;07110;07260;JOYEUSE
7.3242;43.8093;06048;06390;CONTES
7.2726;43.7861;06147;06690;TOURRETTE LEVENS
9.041;41.7316;2A066;20164;CARGIACA
-1.1086;49.2258;50468;50620;ST FROMOND
1.1533;42.9753;09261;09200;ST GIRONS
5.0604;44.2477;84137;84110;VAISON LA ROMAINE
2.5113;43.6117;81037;81260;BRASSAC
0.6014;47.3368;37018;37510;BALLAN MIRE
3.4174;50.2076;59528;59188;ST AUBERT
-3.1476;47.8366;56101;56440;LANGUIDIC
4.3484;44.3122;30029;30430;BARJAC
-0.6127;45.005;33262;33460;MACAU
2.104;47.9653;45327;45470;TRAINOU
-2.0484;46.8022;85234;85160;ST JEAN DE MONTS
3.3853;45.2965;43040;43100;BRIOUDE
4.3739;45.6293;42059;42140;CHAZELLES SUR LYON
5.7647;45.702;73330;73170;YENNE
-1.2574;45.9097;17140;17550;DOLUS D OLERON
6.6184;45.5526;73006;73210;AIME LA PLAGNE
6.6184;45.5526;73006;73210;AIME LA PLAGNE
